"","medv","age","lstat"
"1",24,65.2,4.98
"2",21.6,78.9,9.14
"3",34.7,61.1,4.03
"4",33.4,45.8,2.94
"5",36.2,54.2,5.33
"6",28.7,58.7,5.21
"7",22.9,66.6,12.43
"8",27.1,96.1,19.15
"9",16.5,100,29.93
"10",18.9,85.9,17.1
"11",15,94.3,20.45
"12",18.9,82.9,13.27
"13",21.7,39,15.71
"14",20.4,61.8,8.26
"15",18.2,84.5,10.26
"16",19.9,56.5,8.47
"17",23.1,29.3,6.58
"18",17.5,81.7,14.67
"19",20.2,36.6,11.69
"20",18.2,69.5,11.28
"21",13.6,98.1,21.02
"22",19.6,89.2,13.83
"23",15.2,91.7,18.72
"24",14.5,100,19.88
"25",15.6,94.1,16.3
"26",13.9,85.7,16.51
"27",16.6,90.3,14.81
"28",14.8,88.8,17.28
"29",18.4,94.4,12.8
"30",21,87.3,11.98
"31",12.7,94.1,22.6
"32",14.5,100,13.04
"33",13.2,82,27.71
"34",13.1,95,18.35
"35",13.5,96.9,20.34
"36",18.9,68.2,9.68
"37",20,61.4,11.41
"38",21,41.5,8.77
"39",24.7,30.2,10.13
"40",30.8,21.8,4.32
"41",34.9,15.8,1.98
"42",26.6,2.9,4.84
"43",25.3,6.6,5.81
"44",24.7,6.5,7.44
"45",21.2,40,9.55
"46",19.3,33.8,10.21
"47",20,33.3,14.15
"48",16.6,85.5,18.8
"49",14.4,95.3,30.81
"50",19.4,62,16.2
"51",19.7,45.7,13.45
"52",20.5,63,9.43
"53",25,21.1,5.28
"54",23.4,21.4,8.43
"55",18.9,47.6,14.8
"56",35.4,21.9,4.81
"57",24.7,35.7,5.77
"58",31.6,40.5,3.95
"59",23.3,29.2,6.86
"60",19.6,47.2,9.22
"61",18.7,66.2,13.15
"62",16,93.4,14.44
"63",22.2,67.8,6.73
"64",25,43.4,9.5
"65",33,59.5,8.05
"66",23.5,17.8,4.67
"67",19.4,31.1,10.24
"68",22,21.4,8.1
"69",17.4,36.8,13.09
"70",20.9,33,8.79
"71",24.2,6.6,6.72
"72",21.7,17.5,9.88
"73",22.8,7.8,5.52
"74",23.4,6.2,7.54
"75",24.1,6,6.78
"76",21.4,45,8.94
"77",20,74.5,11.97
"78",20.8,45.8,10.27
"79",21.2,53.7,12.34
"80",20.3,36.6,9.1
"81",28,33.5,5.29
"82",23.9,70.4,7.22
"83",24.8,32.2,6.72
"84",22.9,46.7,7.51
"85",23.9,48,9.62
"86",26.6,56.1,6.53
"87",22.5,45.1,12.86
"88",22.2,56.8,8.44
"89",23.6,86.3,5.5
"90",28.7,63.1,5.7
"91",22.6,66.1,8.81
"92",22,73.9,8.2
"93",22.9,53.6,8.16
"94",25,28.9,6.21
"95",20.6,77.3,10.59
"96",28.4,57.8,6.65
"97",21.4,69.6,11.34
"98",38.7,76,4.21
